DATE,LFWATTTTUSM647S
1960-01-01,116707666.666666666667
1960-04-01,117036666.666666666667
1960-07-01,117411000.000000000000
1960-10-01,117824333.333333333333
1961-01-01,118254333.333333333333
1961-04-01,118636000.000000000000
1961-07-01,119000666.666666666667
1961-10-01,119189666.666666666667
1962-01-01,119378666.666666666667
1962-04-01,119819333.333333333333
1962-07-01,120368000.000000000000
1962-10-01,121045666.666666666667
1963-01-01,121640000.000000000000
1963-04-01,122166666.666666666667
1963-07-01,122669666.666666666667
1963-10-01,123188666.666666666667
1964-01-01,123708000.000000000000
1964-04-01,124203000.000000000000
1964-07-01,124739333.333333333333
1964-10-01,125289000.000000000000
1965-01-01,125814000.000000000000
1965-04-01,126324666.666666666667
1965-07-01,126745000.000000000000
1965-10-01,127169333.333333333333
1966-01-01,127511333.333333333333
1966-04-01,127868666.666666666667
1966-07-01,128233666.666666666667
1966-10-01,128617000.000000000000
1967-01-01,129043666.666666666667
1967-04-01,129527000.000000000000
1967-07-01,130165666.666666666667
1967-10-01,130757333.333333333333
1968-01-01,131267000.000000000000
1968-04-01,131712333.333333333333
1968-07-01,132250000.000000000000
1968-10-01,132880000.000000000000
1969-01-01,133476000.00000000
1969-04-01,134020333.33333333
1969-07-01,134595000.00000000
1969-10-01,135246666.66666667
1970-01-01,135949666.66666667
1970-04-01,136676666.66666667
1970-07-01,137456000.00000000
1970-10-01,138260333.33333333
1971-01-01,139033666.66666667
1971-04-01,139827333.33333333
1971-07-01,140602666.66666667
1971-10-01,141401666.66666667
1972-01-01,143005333.33333333
1972-04-01,143758666.66666667
1972-07-01,144522666.66666667
1972-10-01,145215000.00000000
1973-01-01,145964333.33333333
1973-04-01,146719666.66666667
1973-07-01,147478333.33333333
1973-10-01,148226000.00000000
1974-01-01,148986666.66666667
1974-04-01,149746666.66666667
1974-07-01,150498000.00000000
1974-10-01,151253000.00000000
1975-01-01,151987333.33333333
1975-04-01,152707666.66666667
1975-07-01,153579000.00000000
1975-10-01,154336333.33333333
1976-01-01,155075000.00000000
1976-04-01,155773333.33333333
1976-07-01,156526666.66666667
1976-10-01,157222000.00000000
1977-01-01,157910666.66666667
1977-04-01,158652000.00000000
1977-07-01,159429666.66666667
1977-10-01,160140000.00000000
1978-01-01,160828666.66666667
1978-04-01,161525000.00000000
1978-07-01,162265000.00000000
1978-10-01,163024000.00000000
1979-01-01,163756333.33333333
1979-04-01,164447000.00000000
1979-07-01,165199666.66666667
1979-10-01,166054666.66666667
1980-01-01,166762333.33333333
1980-04-01,167415666.66666667
1980-07-01,168110666.66666667
1980-10-01,168693666.66666667
1981-01-01,169279000.00000000
1981-04-01,169837333.33333333
1981-07-01,170412666.66666667
1981-10-01,170990333.33333333
1982-01-01,171497000.00000000
1982-04-01,172020000.00000000
1982-07-01,172521666.66666667
1982-10-01,173046000.00000000
1983-01-01,173505000.00000000
1983-04-01,173957333.33333333
1983-07-01,174449333.33333333
1983-10-01,174950333.33333333
1984-01-01,175678666.66666667
1984-04-01,176125333.33333333
1984-07-01,176595333.33333333
1984-10-01,177132333.33333333
1985-01-01,177522333.33333333
1985-04-01,177946333.33333333
1985-07-01,178413333.33333333
1985-10-01,178940666.66666667
1986-01-01,179825333.33333333
1986-04-01,180320666.66666667
1986-07-01,180835666.66666667
1986-10-01,181365333.33333333
1987-01-01,182001333.33333333
1987-04-01,182526666.66666667
1987-07-01,183016000.00000000
1987-10-01,183467000.00000000
1988-01-01,183967333.33333333
1988-04-01,184389333.33333333
1988-07-01,184840333.33333333
1988-10-01,185253333.33333333
1989-01-01,185772666.66666667
1989-04-01,186178000.00000000
1989-07-01,186602333.33333333
1989-10-01,187017666.66666667
1990-01-01,188519666.66666667
1990-04-01,188916333.33333333
1990-07-01,189352666.66666667
1990-10-01,189866333.33333333
1991-01-01,190271666.66666667
1991-04-01,190655666.66666667
1991-07-01,191121333.33333333
1991-10-01,191650666.66666667
1992-01-01,192074666.66666667
1992-04-01,192506666.66666667
1992-07-01,193024333.33333333
1992-10-01,193615666.66666667
1993-01-01,194106000.00000000
1993-04-01,194555333.33333333
1993-07-01,195068000.00000000
1993-10-01,195621000.00000000
1994-01-01,196085333.33333333
1994-04-01,196522000.00000000
1994-07-01,197050000.00000000
1994-10-01,197600666.66666667
1995-01-01,197882000.00000000
1995-04-01,198295333.33333333
1995-07-01,198807000.00000000
1995-10-01,199351666.66666667
1996-01-01,199775666.66666667
1996-04-01,200279333.33333333
1996-07-01,200849333.33333333
1996-10-01,201457333.33333333
1997-01-01,202395333.33333333
1997-04-01,202835333.33333333
1997-07-01,203366666.66666667
1997-10-01,203935333.33333333
1998-01-01,204394666.66666667
1998-04-01,204905000.00000000
1998-07-01,205482666.66666667
1998-10-01,206097666.66666667
1999-01-01,206876000.00000000
1999-04-01,207431666.66666667
1999-07-01,208043666.66666667
1999-10-01,208660333.33333333
2000-01-01,211586000.00000000
2000-04-01,212242000.00000000
2000-07-01,212918666.66666667
2000-10-01,213560333.33333333
2001-01-01,214101000.00000000
2001-04-01,214735666.66666667
2001-07-01,215421666.66666667
2001-10-01,216111666.66666667
2002-01-01,216664000.00000000
2002-04-01,217203666.66666667
2002-07-01,217867666.66666667
2002-10-01,218543000.00000000
2003-01-01,220109333.33333333
2003-04-01,220774000.00000000
2003-07-01,221512666.66666667
2003-10-01,222275666.66666667
2004-01-01,222356000.00000000
2004-04-01,222973333.33333333
2004-07-01,223680000.00000000
2004-10-01,224418000.00000000
