DATE,PCEDG
1959-01-01,44.8916666666666667
1960-01-01,45.6250000000000000
1961-01-01,44.2000000000000000
1962-01-01,49.4583333333333333
1963-01-01,54.2416666666666667
1964-01-01,59.5416666666666667
1965-01-01,66.3916666666666667
1966-01-01,71.7500000000000000
1967-01-01,73.9833333333333333
1968-01-01,84.8250000000000000
1969-01-01,90.4833333333333333
1970-01-01,89.9916666666666667
1971-01-01,102.4416666666666667
1972-01-01,116.4416666666666667
1973-01-01,130.5416666666666667
1974-01-01,130.1833333333333333
1975-01-01,142.1500000000000000
1976-01-01,168.6250000000000000
1977-01-01,191.9666666666666667
1978-01-01,213.3333333333333333
1979-01-01,226.3416666666666667
1980-01-01,226.3916666666666667
1981-01-01,243.9500000000000000
1982-01-01,253.0333333333333333
1983-01-01,295.0416666666666667
1984-01-01,342.1500000000000000
1985-01-01,380.3500000000000000
1986-01-01,421.4416666666666667
1987-01-01,442.0250000000000000
1988-01-01,475.0833333333333333
1989-01-01,494.3250000000000000
1990-01-01,497.0750000000000000
1991-01-01,477.1833333333333333
1992-01-01,508.0750000000000000
1993-01-01,551.5333333333333333
1994-01-01,607.1666666666666667
1995-01-01,635.7416666666666667
1996-01-01,676.2833333333333333
1997-01-01,715.5416666666666667
1998-01-01,779.2916666666666667
1999-01-01,855.5666666666666667
2000-01-01,912.5750000000000000
2001-01-01,941.5166666666666667
2002-01-01,985.3750000000000000
2003-01-01,1017.8000000000000000
2004-01-01,1080.5750000000000000
2005-01-01,1128.6083333333333333
2006-01-01,1158.3250000000000000
2007-01-01,1188.0500000000000000
2008-01-01,1098.7666666666666667
2009-01-01,1012.1166666666666667
2010-01-01,1048.9833333333333333
2011-01-01,1093.4916666666666667
2012-01-01,1144.2250000000000000
2013-01-01,1189.4083333333333333
2014-01-01,1242.0666666666666667
2015-01-01,1307.6166666666666667
2016-01-01,1350.2333333333333333
2017-01-01,1410.6833333333333333
2018-01-01,1481.5583333333333333
2019-01-01,1534.3416666666666667
2020-01-01,1619.5833333333333333
2021-01-01,.
